Orthogroup	Species	Zebrafish.UniProt.renamed	Orthologs
OG0004922	Human.UniProt.renamed	A0A8N7TE34	O43900
OG0004923	Human.UniProt.renamed	A0A8M9PME6	O60494
OG0004924	Human.UniProt.renamed	Q5BLA5	O75607
OG0004925	Human.UniProt.renamed	A0A8M2BCB6	O95831
OG0004926	Human.UniProt.renamed	Q7SZM5	P08253
OG0004927	Human.UniProt.renamed	Q6ZM23	P09669
OG0004928	Human.UniProt.renamed	E9QE97	P22914
OG0004930	Human.UniProt.renamed	P52161	P61244
OG0004931	Human.UniProt.renamed	Q90Y54	P78504
OG0004932	Human.UniProt.renamed	Q5PR57	Q02127
OG0004933	Human.UniProt.renamed	A0A8M9QJI0	Q13099
OG0004934	Human.UniProt.renamed	Q6NWZ9	Q16878
OG0004935	Human.UniProt.renamed	A0A8M6YV78	Q5VWZ2
OG0004936	Human.UniProt.renamed	Q5U3A8	Q6ZMI0
OG0004937	Human.UniProt.renamed	A0A8M3AP47	Q86YN6
OG0004938	Human.UniProt.renamed	A0A8M6YVR3	Q8IXF0
OG0004939	Human.UniProt.renamed	E7F7E2	Q8TB22
OG0004940	Human.UniProt.renamed	Q1LUI6	Q8TC41
OG0004942	Human.UniProt.renamed	A0A0R4I9D6	Q92797
OG0004943	Human.UniProt.renamed	Q6IQ96	Q96DT6
OG0004944	Human.UniProt.renamed	Q4VBJ4	Q96EK6
OG0004945	Human.UniProt.renamed	A0A8M9PZ99	Q96EV2
OG0004946	Human.UniProt.renamed	Q7SXB3	Q96FE7
OG0004947	Human.UniProt.renamed	Q6PGY8	Q96KP1
OG0004948	Human.UniProt.renamed	Q7T3H7	Q9BUE0
OG0004949	Human.UniProt.renamed	Q32LT7	Q9C0H2
OG0004950	Human.UniProt.renamed	E7EY20	Q9H0C8
OG0004951	Human.UniProt.renamed	F1QAJ4	Q9H0R6
OG0004952	Human.UniProt.renamed	A2BGZ3	Q9H9E1
OG0004953	Human.UniProt.renamed	A0A8M2B3B8	Q9NZJ5
OG0004954	Human.UniProt.renamed	A4QN68	Q9P000
OG0004955	Human.UniProt.renamed	Q7ZVZ2	Q9UBM1
OG0004956	Human.UniProt.renamed	Q6DC66	Q9UMX3
OG0004957	Human.UniProt.renamed	Q7T2A5	Q9Y262
OG0004958	Human.UniProt.renamed	A0A8M2BIS7	Q9Y4B5
OG0004959	Human.UniProt.renamed	A0A8M3B4L0	Q9Y4D8
OG0004960	Human.UniProt.renamed	A7MBV2	Q9Y4X4
OG0004961	Human.UniProt.renamed	Q7ZWA8	O00559
OG0004962	Human.UniProt.renamed	A0A8M1QUR0	O43516
OG0004963	Human.UniProt.renamed	A0A8M3B025	O43896
OG0004964	Human.UniProt.renamed	O93507	P17542
OG0004965	Human.UniProt.renamed	T2HVK6	P21731
OG0004966	Human.UniProt.renamed	Q6NVA6	P24844
OG0004967	Human.UniProt.renamed	Q7ZUG1	P30050
OG0004968	Human.UniProt.renamed	F1QQG9	P41968
OG0004969	Human.UniProt.renamed	Q6PBT1	P42677
OG0004970	Human.UniProt.renamed	Q6NV35	P48506
OG0004971	Human.UniProt.renamed	Q7ZU99	P55072
OG0004972	Human.UniProt.renamed	X1WET9	P55884
OG0004973	Human.UniProt.renamed	A0A8M2BBF6	Q15334
OG0004974	Human.UniProt.renamed	A7MC00	Q15555
OG0004975	Human.UniProt.renamed	Q6R3Q6	Q3C1V8
OG0004976	Human.UniProt.renamed	Q501X6	Q5VVH5
OG0004977	Human.UniProt.renamed	A0A2R8Q3V8	Q6P158
OG0004978	Human.UniProt.renamed	E7EXV0	Q6P4H8
OG0004979	Human.UniProt.renamed	A0A8N1YZY7	Q7Z3V4
OG0004980	Human.UniProt.renamed	E7EZJ0	Q86U38
OG0004981	Human.UniProt.renamed	Q66I67	Q8IY31
OG0004982	Human.UniProt.renamed	A8QLH8	Q8IYD8
OG0004983	Human.UniProt.renamed	A3KNW0	Q8N2A8
OG0004984	Human.UniProt.renamed	Q66HZ6	Q8N8Q1
OG0004985	Human.UniProt.renamed	Q3B7H1	Q8NB37
OG0004986	Human.UniProt.renamed	E7EY13	Q8NE62
OG0004987	Human.UniProt.renamed	A0A8M2BKM4	Q8TF17
OG0004988	Human.UniProt.renamed	Q1LUX5	Q8WUU4
OG0004989	Human.UniProt.renamed	A9C3N6	Q96C57
OG0004990	Human.UniProt.renamed	A2CE83	Q96C92
OG0004991	Human.UniProt.renamed	Q503C8	Q96RS6
OG0004993	Human.UniProt.renamed	A0A8M6YYE2	Q9BR77
OG0004994	Human.UniProt.renamed	Q6DRG1	Q9BTD8
OG0004995	Human.UniProt.renamed	A0A8M9QAN8	Q9BXJ7
OG0004996	Human.UniProt.renamed	A0A8M6Z413	Q9HAV4
OG0004997	Human.UniProt.renamed	Q561X3	Q9NPJ6
OG0004998	Human.UniProt.renamed	F1RCI6	Q9NR33
OG0004999	Human.UniProt.renamed	Q7SZ59	Q9NYN1
OG0005000	Human.UniProt.renamed	Q6PHV8	Q9Y272
OG0005001	Human.UniProt.renamed	A0A8M2BG55	Q9Y2F9
OG0005003	Human.UniProt.renamed	Q7T3C6	O43809
OG0005004	Human.UniProt.renamed	Q6DGA3	O60894
OG0005005	Human.UniProt.renamed	Q6PBY6	O94826
OG0005006	Human.UniProt.renamed	Q4VBJ0	O95965
OG0005007	Human.UniProt.renamed	F8W5L3	P04181
OG0005008	Human.UniProt.renamed	A0A8N7UR00	P28336
OG0005009	Human.UniProt.renamed	Q4V9I5	P37108
OG0005010	Human.UniProt.renamed	A0A8M2BCD9	P42331
OG0005011	Human.UniProt.renamed	A0A8M9PI57	P67775
OG0005012	Human.UniProt.renamed	A0A8M1QV42	Q13395
OG0005013	Human.UniProt.renamed	F1Q6W4	Q15078
OG0005014	Human.UniProt.renamed	Q7T2L8	Q16828
OG0005015	Human.UniProt.renamed	A0A8M3AT49	Q3SYG4
OG0005016	Human.UniProt.renamed	E7FEV0	Q562E7
OG0005018	Human.UniProt.renamed	A0A8M1RFR4	Q6P2D8
OG0005019	Human.UniProt.renamed	A0A8N7TE51	Q7L2E3
OG0005020	Human.UniProt.renamed	A0A8M3AUW1	Q7RTV5
OG0005021	Human.UniProt.renamed	B7ZD04	Q86XK3
OG0005022	Human.UniProt.renamed	F1QSB8	Q86XP3
OG0005023	Human.UniProt.renamed	A2RV06	Q8IYR0
OG0005024	Human.UniProt.renamed	Q66IC8	Q8N7M0
OG0005025	Human.UniProt.renamed	F1QGI1	Q8N8Z6
OG0005026	Human.UniProt.renamed	Q503G4	Q8WUJ0
OG0005027	Human.UniProt.renamed	F1QM29	Q92834
OG0005028	Human.UniProt.renamed	F1QA15	Q96CW5
OG0005029	Human.UniProt.renamed	Q803G0	Q96DZ1
OG0005030	Human.UniProt.renamed	Q6NW46	Q96S55
OG0005031	Human.UniProt.renamed	A1A5Z0	Q9BUM1
OG0005032	Human.UniProt.renamed	B7ZDD5	Q9BX63
OG0005033	Human.UniProt.renamed	A0A0R4IU56	Q9H2P9
OG0005034	Human.UniProt.renamed	Q6IQU6	Q9H9Y2
OG0005035	Human.UniProt.renamed	Q7ZUS6	Q9NNZ3
OG0005036	Human.UniProt.renamed	A0A8N7UVX5	Q9NQZ5
OG0005037	Human.UniProt.renamed	Q1LWC2	Q9NUM4
OG0005038	Human.UniProt.renamed	A0A8M1P7U9	Q9NXW9
OG0005039	Human.UniProt.renamed	A0A8M9Q7D0	Q9Y2W3
OG0005040	Human.UniProt.renamed	A2CI97	A2CJ06
OG0005041	Human.UniProt.renamed	A0A0R4IVJ0	O15294
OG0005042	Human.UniProt.renamed	A5PLI6	O75208
OG0005043	Human.UniProt.renamed	Q7SX99	P07954
OG0005044	Human.UniProt.renamed	Q7T359	P11150
OG0005045	Human.UniProt.renamed	Q66HW7	P23942
OG0005046	Human.UniProt.renamed	Q9PUS3	P28065
OG0005047	Human.UniProt.renamed	Q66I20	P36955
OG0005048	Human.UniProt.renamed	F1RC64	P48637
OG0005049	Human.UniProt.renamed	Q6PEJ2	P53680
OG0005050	Human.UniProt.renamed	Q8JHU3	P57078
OG0005051	Human.UniProt.renamed	Q803E5	P62495
OG0005052	Human.UniProt.renamed	A0A8M1RHH5	Q00169
OG0005053	Human.UniProt.renamed	Q503F9	Q08623
OG0005054	Human.UniProt.renamed	A0A8M9PRV2	Q13464
OG0005055	Human.UniProt.renamed	A0A0R4ILD9	Q14232
OG0005056	Human.UniProt.renamed	A0A0R4IBT0	Q15637
OG0005057	Human.UniProt.renamed	A4QNW6	Q49MI3
OG0005058	Human.UniProt.renamed	E7F8W7	Q53R41
OG0005059	Human.UniProt.renamed	E7F5Q0	Q5VU97
OG0005060	Human.UniProt.renamed	A0A8M1QV45	Q66K41
OG0005061	Human.UniProt.renamed	B3DHU2	Q6PI78
OG0005062	Human.UniProt.renamed	A1L2C8	Q7Z3Z2
OG0005063	Human.UniProt.renamed	D7NVC0	Q7Z418
OG0005064	Human.UniProt.renamed	B3DH20	Q86X45
OG0005065	Human.UniProt.renamed	A7MD57	Q8IWE4
OG0005066	Human.UniProt.renamed	A0A8M9PPZ6	Q8IXT1
OG0005067	Human.UniProt.renamed	A0A8M1RMD2	Q8IZD0
OG0005068	Human.UniProt.renamed	Q1LX29	Q8NA31
OG0005069	Human.UniProt.renamed	Q6DG99	Q8NC69
OG0005070	Human.UniProt.renamed	A0A8M6Z1B7	Q8NEA6
OG0005071	Human.UniProt.renamed	Q1LWG4	Q8NF37
OG0005072	Human.UniProt.renamed	A0A8M9QIZ4	Q93015
OG0005073	Human.UniProt.renamed	Q6NZ11	Q969Z4
OG0005074	Human.UniProt.renamed	P53406	Q96A47
OG0005075	Human.UniProt.renamed	A5PL71	Q96DP5
OG0005076	Human.UniProt.renamed	A0A0R4IUC9	Q96E14
OG0005077	Human.UniProt.renamed	Q7ZWE6	Q96EV8
OG0005078	Human.UniProt.renamed	A0A8M9QAV9	Q96FV3
OG0005079	Human.UniProt.renamed	A0A8M9PBZ0	Q96MR6
OG0005080	Human.UniProt.renamed	A3KPX4	Q96QC0
OG0005081	Human.UniProt.renamed	A0A8M2B5N2	Q96SJ8
OG0005082	Human.UniProt.renamed	Q1LWP9	Q99519
OG0005083	Human.UniProt.renamed	A0A8M2BK34	Q9BQ15
OG0005084	Human.UniProt.renamed	A0A0R4IXD9	Q9BTW9
OG0005085	Human.UniProt.renamed	Q6P0F0	Q9BV81
OG0005086	Human.UniProt.renamed	Q5XJB5	Q9HBH5
OG0005087	Human.UniProt.renamed	Q568N3	Q9NPL8
OG0005088	Human.UniProt.renamed	Q71G54	Q9NQB0
OG0005089	Human.UniProt.renamed	A0A8N7TD29	Q9NRA1
OG0005090	Human.UniProt.renamed	F1QJR8	Q9UHR5
OG0005091	Human.UniProt.renamed	A0A8M3AZ08	Q9ULH1
OG0005092	Human.UniProt.renamed	A0A8M9P8V5	O43149
OG0005093	Human.UniProt.renamed	A0A8M3B3J4	O43824
OG0005094	Human.UniProt.renamed	Q561U2	O60260
OG0005095	Human.UniProt.renamed	Q4V909	O60826
OG0005096	Human.UniProt.renamed	F1Q9F5	O94829
OG0005097	Human.UniProt.renamed	A1L1N4	O95232
OG0005098	Human.UniProt.renamed	A0A8M9Q5V4	O95394
OG0005099	Human.UniProt.renamed	A0A8M2B6G8	O95886
OG0005100	Human.UniProt.renamed	P79737	P01111
OG0005101	Human.UniProt.renamed	Q7T3B6	P04070
OG0005102	Human.UniProt.renamed	E7F8R4	P05089
OG0005103	Human.UniProt.renamed	A4GT83	P10275
OG0005104	Human.UniProt.renamed	Q5BKV3	P11182
OG0005105	Human.UniProt.renamed	Q7ZV32	P35914
OG0005106	Human.UniProt.renamed	Q7T334	P40926
OG0005107	Human.UniProt.renamed	Q98TX4	P43699
OG0005108	Human.UniProt.renamed	Q7ZV23	P55769
OG0005109	Human.UniProt.renamed	Q498P2	P82673
OG0005110	Human.UniProt.renamed	Q7SZQ9	Q13823
OG0005113	Human.UniProt.renamed	Q6PEH4	Q68CQ4
OG0005114	Human.UniProt.renamed	F1QWG9	Q6GPH4
OG0005115	Human.UniProt.renamed	E7FD02	Q6IWH7
OG0005116	Human.UniProt.renamed	Q568W8	Q6QHK4
OG0005117	Human.UniProt.renamed	Q6IQH9	Q7Z7H5
OG0005118	Human.UniProt.renamed	F1QGN0	Q8N3X1
OG0005119	Human.UniProt.renamed	Q3ZMH1	Q8N695
OG0005120	Human.UniProt.renamed	B0S5R1	Q8NA72
OG0005121	Human.UniProt.renamed	Q7ZVX6	Q8TBC4
OG0005122	Human.UniProt.renamed	E7F6G2	Q8TDX6
OG0005123	Human.UniProt.renamed	A0A8M9PXN6	Q8TDX9
OG0005124	Human.UniProt.renamed	Q7ZYY4	Q92520
OG0005125	Human.UniProt.renamed	F1Q8K0	Q92698
OG0005126	Human.UniProt.renamed	Q6P2T8	Q92759
OG0005127	Human.UniProt.renamed	Q56A36	Q96JZ2
OG0005128	Human.UniProt.renamed	Q6PC91	Q96K17
OG0005129	Human.UniProt.renamed	Q6DRM7	Q9BRX5
OG0005130	Human.UniProt.renamed	A0A2R8RUJ1	Q9H239
OG0005131	Human.UniProt.renamed	E7F2I7	Q9H2Y9
OG0005132	Human.UniProt.renamed	B3DII8	Q9H6V9
OG0005133	Human.UniProt.renamed	Q7T386	Q9H765
OG0005134	Human.UniProt.renamed	A0A0R4IIV9	Q9NXG2
OG0005135	Human.UniProt.renamed	B1B5D9	Q9NY59
OG0005136	Human.UniProt.renamed	A0A8M1RNL4	Q9NYY3
OG0005137	Human.UniProt.renamed	Q0P4E8	Q9P0U1
OG0005138	Human.UniProt.renamed	A0A8M2BIR4	Q9UJF2
OG0005139	Human.UniProt.renamed	F1QAY0	Q9UKM9
OG0005140	Human.UniProt.renamed	X1WG21	Q9Y6I4
OG0005141	Human.UniProt.renamed	A0A2R8RK24	B9EJG8
OG0005142	Human.UniProt.renamed	A7E2L3	O00110
OG0005144	Human.UniProt.renamed	Q1RLY6	O15229
OG0005145	Human.UniProt.renamed	Q6DG11	O43290
OG0005146	Human.UniProt.renamed	A0A8M9Q380	O43610
OG0005147	Human.UniProt.renamed	Q6DRE2	O43660
OG0005148	Human.UniProt.renamed	Q5SNV1	O60281
OG0005149	Human.UniProt.renamed	Q0KIZ7	O60928
OG0005150	Human.UniProt.renamed	A8WGQ0	P05121
OG0005151	Human.UniProt.renamed	A0A8M3ARK1	P07814
OG0005152	Human.UniProt.renamed	Q6DH63	P14854
OG0005153	Human.UniProt.renamed	A3QJX7	P41143
OG0005154	Human.UniProt.renamed	A4QNW0	P45844
OG0005155	Human.UniProt.renamed	A0A8M9Q8R8	P49585
OG0005156	Human.UniProt.renamed	A0JMG8	P51798
OG0005158	Human.UniProt.renamed	Q7ZW17	Q06124
OG0005159	Human.UniProt.renamed	Q9PTH5	Q06323
OG0005160	Human.UniProt.renamed	A0A2R8RHK7	Q13426
OG0005161	Human.UniProt.renamed	B1H1J6	Q14117
OG0005162	Human.UniProt.renamed	F1R369	Q15293
OG0005163	Human.UniProt.renamed	Q6IQ84	Q15759
OG0005164	Human.UniProt.renamed	Q6NZ09	Q16186
OG0005165	Human.UniProt.renamed	E7F853	Q5T3J3
OG0005166	Human.UniProt.renamed	Q6DGQ4	Q6PH81
OG0005167	Human.UniProt.renamed	A0A8M9PD09	Q6UX72
OG0005168	Human.UniProt.renamed	Q4V922	Q6UXU4
OG0005169	Human.UniProt.renamed	A0A8M1RHF7	Q6ZU64
OG0005170	Human.UniProt.renamed	A0A8M6Z399	Q7RTS9
OG0005171	Human.UniProt.renamed	A0A8M3B2E6	Q7Z3F1
OG0005172	Human.UniProt.renamed	Q7SX85	Q86VW0
OG0005173	Human.UniProt.renamed	Q5CZM9	Q86Y79
OG0005174	Human.UniProt.renamed	F1QXF4	Q8NI27
OG0005175	Human.UniProt.renamed	F1Q8W0	Q8WUQ7
OG0005176	Human.UniProt.renamed	A0A8M2BCR7	Q92785
OG0005177	Human.UniProt.renamed	Q567B0	Q96AX2
OG0005178	Human.UniProt.renamed	Q641M3	Q96B42
OG0005179	Human.UniProt.renamed	A0A8M2BHK6	Q96DR4
OG0005181	Human.UniProt.renamed	A0A2R8QND7	Q9BT25
OG0005182	Human.UniProt.renamed	A0A8M2B351	Q9H3M0
OG0005183	Human.UniProt.renamed	A0A8M3BCH1	Q9H714
OG0005184	Human.UniProt.renamed	Q7ZVK7	Q9NQ55
OG0005185	Human.UniProt.renamed	Q9PUQ6	Q9NZQ9
OG0005186	Human.UniProt.renamed	B8A507	Q9NZU0
OG0005187	Human.UniProt.renamed	Q6IQF3	Q9P2W1
OG0005188	Human.UniProt.renamed	I3ISV3	Q9ULX3
OG0005189	Human.UniProt.renamed	A0A8M9PLZ8	A2VEC9
OG0005190	Human.UniProt.renamed	Q6DHF7	A4D1E9
OG0005191	Human.UniProt.renamed	B8A4Q2	O00764
OG0005192	Human.UniProt.renamed	Q9YH91	O14493
OG0005193	Human.UniProt.renamed	E7FCU6	O75783
OG0005194	Human.UniProt.renamed	A0A8M2B432	P01133
OG0005195	Human.UniProt.renamed	F8W442	P09471
OG0005196	Human.UniProt.renamed	Q4KMF7	P10244
OG0005197	Human.UniProt.renamed	Q90WX6	P11488
OG0005198	Human.UniProt.renamed	Q6P5M3	P46781
OG0005199	Human.UniProt.renamed	B0R0I1	P50281
OG0005200	Human.UniProt.renamed	P57102	P61296
OG0005201	Human.UniProt.renamed	F1R3F7	Q07021
OG0005202	Human.UniProt.renamed	Q6DKF4	Q12792
OG0005203	Human.UniProt.renamed	Q9PTF3	Q13232
OG0005204	Human.UniProt.renamed	Q7T3H4	Q14393
OG0005205	Human.UniProt.renamed	A0A8M9PRN8	Q15149
OG0005206	Human.UniProt.renamed	I3IS54	Q15345
OG0005207	Human.UniProt.renamed	Q7ZVD4	Q15428
OG0005208	Human.UniProt.renamed	A3KP37	Q5TEU4
OG0005209	Human.UniProt.renamed	B3DIJ1	Q6PK18
OG0005210	Human.UniProt.renamed	A0A8N7UTF1	Q6YHK3
OG0005211	Human.UniProt.renamed	A0A8M3AJH8	Q6ZWH5
OG0005212	Human.UniProt.renamed	A0A8M3APF3	Q7RTR2
OG0005213	Human.UniProt.renamed	Q4V9H3	Q8NBI3
OG0005214	Human.UniProt.renamed	Q0P427	Q8TAP8
OG0005215	Human.UniProt.renamed	A9JSX6	Q8TCG1
OG0005216	Human.UniProt.renamed	A0A8M9PGC0	Q8TDF5
OG0005217	Human.UniProt.renamed	A1A5V9	Q8TE02
OG0005218	Human.UniProt.renamed	A0A2R8Q5I2	Q96AJ9
OG0005219	Human.UniProt.renamed	A0A0R4ICC7	Q96ES6
OG0005220	Human.UniProt.renamed	Q6NYY9	Q96GC9
OG0005222	Human.UniProt.renamed	Q7ZVN7	Q96RN5
OG0005223	Human.UniProt.renamed	F1R647	Q9BUP0
OG0005224	Human.UniProt.renamed	Q98SP7	Q9BXC9
OG0005225	Human.UniProt.renamed	E7F9E5	Q9BYF1
OG0005226	Human.UniProt.renamed	Q5M9P8	Q9H0F7
OG0005227	Human.UniProt.renamed	Q4G0A0	Q9H270
OG0005228	Human.UniProt.renamed	Q2LE08	Q9H334
OG0005229	Human.UniProt.renamed	A0A8M2BEZ5	Q9NNW5
OG0005230	Human.UniProt.renamed	Q5RKM6	Q9NSD9
OG0005231	Human.UniProt.renamed	F1R6N4	Q9NTX5
OG0005232	Human.UniProt.renamed	Q6PC62	Q9NZD8
OG0005233	Human.UniProt.renamed	Q7ZVF8	Q9UHQ9
OG0005234	Human.UniProt.renamed	A2CEX1	Q9ULC8
OG0005235	Human.UniProt.renamed	Q6PBV4	Q9Y3V2
OG0005236	Human.UniProt.renamed	A0A8N7UZN6	Q9Y5C1
OG0005237	Human.UniProt.renamed	Q66IC4	Q9Y6J8
OG0005238	Human.UniProt.renamed	A0A8M9PDM1	W5XKT8
OG0005239	Human.UniProt.renamed	A4JYQ6	A8MVW5
OG0005240	Human.UniProt.renamed	Q7ZTX4	O15315
OG0005241	Human.UniProt.renamed	A0A8M9P5V5	O15525
OG0005242	Human.UniProt.renamed	Q6DH65	O43583
OG0005243	Human.UniProt.renamed	Q6GML0	O60268
OG0005244	Human.UniProt.renamed	Q6PGV3	O75529
OG0005245	Human.UniProt.renamed	Q6Q417	P18124
OG0005246	Human.UniProt.renamed	Q6TGT5	P37802
OG0005247	Human.UniProt.renamed	Q6NYS8	P39656
OG0005248	Human.UniProt.renamed	A0A0R4IK86	P49842
OG0005249	Human.UniProt.renamed	B0R0K2	P51787
OG0005250	Human.UniProt.renamed	A0A8M3BCR2	P53804
OG0005251	Human.UniProt.renamed	O73862	P55316
OG0005252	Human.UniProt.renamed	Q6TEN1	P61224
OG0005253	Human.UniProt.renamed	A0A182	Q02643
OG0005254	Human.UniProt.renamed	A0A2R8QPA3	Q13474
OG0005255	Human.UniProt.renamed	A0A8M3B4S6	Q5RHP9
OG0005256	Human.UniProt.renamed	A0A8M2B6V9	Q5TGY3
OG0005258	Human.UniProt.renamed	Q502J0	Q7L5N7
OG0005259	Human.UniProt.renamed	A0JMG4	Q86UW6
OG0005260	Human.UniProt.renamed	F1QDK1	Q86VX9
OG0005261	Human.UniProt.renamed	A0A8M3AN52	Q8IVM0
OG0005262	Human.UniProt.renamed	Q6NX05	Q8N5Y8
OG0005263	Human.UniProt.renamed	A0AUS0	Q8N9V3
OG0005264	Human.UniProt.renamed	Q1LUJ6	Q8NAP8
OG0005265	Human.UniProt.renamed	A0A8M6Z0K9	Q8NB91
OG0005266	Human.UniProt.renamed	A0A286Y9A6	Q8TAM1
OG0005267	Human.UniProt.renamed	A0A8M9Q976	Q96FS4
OG0005268	Human.UniProt.renamed	B3DHK5	Q96R05
OG0005269	Human.UniProt.renamed	A0A8M1NHD0	Q96SB8
OG0005270	Human.UniProt.renamed	A5PMK4	Q9NXU5
OG0005271	Human.UniProt.renamed	A0A8N7UR43	Q9NYY8
OG0005272	Human.UniProt.renamed	A0A8N7TDD8	Q9NZ53
OG0005273	Human.UniProt.renamed	E7FDX3	Q9P032
OG0005274	Human.UniProt.renamed	B0UY97	Q9UBZ9
OG0005275	Human.UniProt.renamed	A0A8M1P2D8	Q9UIF9
OG0005276	Human.UniProt.renamed	Q802W1	Q9UKJ5
OG0005277	Human.UniProt.renamed	Q71MM5	Q9Y5R6
OG0005279	Human.UniProt.renamed	F1Q6H8	O14645
OG0005280	Human.UniProt.renamed	Q6DEK0	O14730
OG0005281	Human.UniProt.renamed	A0A8M9Q6X2	O75061
OG0005282	Human.UniProt.renamed	Q4V8V2	P0C025
OG0005283	Human.UniProt.renamed	H0WEU8	P0C6T2
OG0005284	Human.UniProt.renamed	F1QLS2	P0DKB5
OG0005285	Human.UniProt.renamed	A0A8M3BA25	P49796
OG0005286	Human.UniProt.renamed	Q7SZV4	P61812
OG0005287	Human.UniProt.renamed	Q6XZH1	Q12837
OG0005288	Human.UniProt.renamed	F6NW06	Q14CB8
OG0005289	Human.UniProt.renamed	Q9W6C8	Q15784
OG0005290	Human.UniProt.renamed	Q66I16	Q16134
OG0005291	Human.UniProt.renamed	A0A8M9PUX7	Q17RS7
OG0005292	Human.UniProt.renamed	Q32TF8	Q5JST6
OG0005293	Human.UniProt.renamed	Q2YDQ6	Q86U70
OG0005294	Human.UniProt.renamed	F2Z4X0	Q8IWD4
OG0005295	Human.UniProt.renamed	E9QD66	Q8IYL2
OG0005296	Human.UniProt.renamed	Q1LVS8	Q8N434
OG0005297	Human.UniProt.renamed	Q6P0H7	Q8N4T8
OG0005298	Human.UniProt.renamed	X1WEX5	Q8NAB2
OG0005299	Human.UniProt.renamed	Q08CG9	Q8NBD8
OG0005300	Human.UniProt.renamed	A0A8M9QGZ6	Q8NEB9
OG0005301	Human.UniProt.renamed	A0A8M3B5H5	Q8WWQ2
OG0005302	Human.UniProt.renamed	A0A8M9Q027	Q8WY36
OG0005303	Human.UniProt.renamed	A0A0R4IBS6	Q92629
OG0005304	Human.UniProt.renamed	F1QXL6	Q96HR8
OG0005305	Human.UniProt.renamed	Q5U3V6	Q96MU7
OG0005306	Human.UniProt.renamed	A0A2R8QUG9	Q9NRC8
OG0005307	Human.UniProt.renamed	Q5EAR4	Q9NRG0
OG0005309	Human.UniProt.renamed	F8W5U2	Q9NUW8
OG0005310	Human.UniProt.renamed	Q6P0G8	Q9NW61
OG0005311	Human.UniProt.renamed	Q66HX8	Q9NXN4
OG0005312	Human.UniProt.renamed	Q6DGQ1	Q9NYS0
OG0005313	Human.UniProt.renamed	Q98TS3	Q9NZL4
OG0005314	Human.UniProt.renamed	Q1LWG3	Q9P0J6
OG0005315	Human.UniProt.renamed	P79738	Q9UBX0
OG0005316	Human.UniProt.renamed	A9C3Q3	Q9UJX3
OG0005317	Human.UniProt.renamed	Q503F8	Q9UKG9
OG0005318	Human.UniProt.renamed	A0A8M1PAI3	Q9ULG6
OG0005319	Human.UniProt.renamed	A0A8M3ATD0	Q9Y215
OG0005320	Human.UniProt.renamed	Q1RLW5	Q9Y216
OG0005321	Human.UniProt.renamed	Q498Z6	Q9Y2R9
OG0005322	Human.UniProt.renamed	Q502E8	Q9Y2T3
OG0005323	Human.UniProt.renamed	E7F5T9	O60566
OG0005324	Human.UniProt.renamed	Q6WFZ4	O75431
OG0005325	Human.UniProt.renamed	P24257	P04628
OG0005326	Human.UniProt.renamed	Q6P2T1	P09012
OG0005327	Human.UniProt.renamed	Q1LX51	P0C1S8
OG0005328	Human.UniProt.renamed	Q9I9E6	P22102
OG0005329	Human.UniProt.renamed	Q5U376	P22681
OG0005330	Human.UniProt.renamed	F1RDZ6	P23416
OG0005331	Human.UniProt.renamed	Q6IQC3	P33552
OG0005332	Human.UniProt.renamed	E7F251	P42338
OG0005333	Human.UniProt.renamed	F1QBP9	P78549
OG0005335	Human.UniProt.renamed	A0A8M9P909	P98082
OG0005336	Human.UniProt.renamed	A0A8M3B2P2	Q0VAA2
OG0005337	Human.UniProt.renamed	A5PMC4	Q12907
OG0005338	Human.UniProt.renamed	A3KQS5	Q13015
OG0005339	Human.UniProt.renamed	Q8QGI4	Q13516
OG0005340	Human.UniProt.renamed	A0A2R8QI48	Q2PPJ7
OG0005341	Human.UniProt.renamed	E7F6P4	Q5U651
OG0005342	Human.UniProt.renamed	Q5RG45	Q66GS9
OG0005343	Human.UniProt.renamed	Q5U3H3	Q68CQ7
OG0005344	Human.UniProt.renamed	I3IRX1	Q6P995
OG0005345	Human.UniProt.renamed	Q1LUM4	Q86W92
OG0005346	Human.UniProt.renamed	A7MBT8	Q8IVH4
OG0005347	Human.UniProt.renamed	Q6NYE7	Q8IY95
OG0005348	Human.UniProt.renamed	Q4V8S5	Q8N6N7
OG0005349	Human.UniProt.renamed	Q6DH43	Q8N983
OG0005350	Human.UniProt.renamed	Q1L981	Q8NAT2
OG0005351	Human.UniProt.renamed	Q6DHK1	Q8NCW5
OG0005352	Human.UniProt.renamed	Q5XJB9	Q8NDY3
OG0005354	Human.UniProt.renamed	A0A8M1N9R4	Q8WXI9
OG0005355	Human.UniProt.renamed	F1Q5N1	Q96KR4
OG0005356	Human.UniProt.renamed	Q5U3W3	Q96NL0
OG0005357	Human.UniProt.renamed	P0DOC8	Q96NL8
OG0005358	Human.UniProt.renamed	F2Z4R3	Q96NN9
OG0005359	Human.UniProt.renamed	B8JIG8	Q96PQ7
OG0005360	Human.UniProt.renamed	A0JMK4	Q99941
OG0005361	Human.UniProt.renamed	A0A0R4ISE8	Q9BRV8
OG0005362	Human.UniProt.renamed	F1QGC9	Q9GZT6
OG0005363	Human.UniProt.renamed	A0A8M9PKH8	Q9H4F8
OG0005364	Human.UniProt.renamed	Q6PC42	Q9HBI1
OG0005365	Human.UniProt.renamed	Q5VSI8	Q9NYL5
