Orthogroup	Species	Human.UniProt.renamed	Orthologs
OG0006444	Zebrafish.UniProt.renamed	Q8N300	P0C8M3
OG0006445	Zebrafish.UniProt.renamed	Q8N4V2	A0A8M2BCL8
OG0006446	Zebrafish.UniProt.renamed	Q8NC24	Q1RLT5
OG0006447	Zebrafish.UniProt.renamed	Q8WWN8	A0A140LH27
OG0006448	Zebrafish.UniProt.renamed	Q96A11	E7F380
OG0006449	Zebrafish.UniProt.renamed	Q96I13	A0A8M6YWL1
OG0006450	Zebrafish.UniProt.renamed	Q96IL0	B8A5M9
OG0006451	Zebrafish.UniProt.renamed	Q99832	Q8JHG7
OG0006452	Zebrafish.UniProt.renamed	Q9BQI5	A0A8M9PKD6
OG0006453	Zebrafish.UniProt.renamed	Q9BY08	Q08BG2
OG0006454	Zebrafish.UniProt.renamed	Q9BYN7	A0A0R4IQE7
OG0006455	Zebrafish.UniProt.renamed	Q9H1X3	A0A8M1NYL9
OG0006456	Zebrafish.UniProt.renamed	Q9H5I5	A0A8M9PXR1
OG0006457	Zebrafish.UniProt.renamed	Q9HBV1	Q6JWW1
OG0006458	Zebrafish.UniProt.renamed	Q9NRM0	A0A8M6Z9W0
OG0006459	Zebrafish.UniProt.renamed	Q9NUL7	Q08BL1
OG0006460	Zebrafish.UniProt.renamed	Q9NXB0	A3QK09
OG0006461	Zebrafish.UniProt.renamed	Q9NYJ8	Q5RFW2
OG0006462	Zebrafish.UniProt.renamed	Q9UPI3	A0A0R4ILB2
OG0006463	Zebrafish.UniProt.renamed	Q9Y240	A0A8N7T6P7
OG0006464	Zebrafish.UniProt.renamed	Q9Y3M2	Q8JI29
OG0006465	Zebrafish.UniProt.renamed	A0AVK6	F1QZ88
OG0006466	Zebrafish.UniProt.renamed	A5PLL7	Q5XJL5
OG0006467	Zebrafish.UniProt.renamed	O60337	A0A8M2BAR2
OG0006468	Zebrafish.UniProt.renamed	O60437	A0A0R4IAS2
OG0006469	Zebrafish.UniProt.renamed	O95718	A0A8M1P2J7
OG0006470	Zebrafish.UniProt.renamed	P06748	E7FCU0
OG0006471	Zebrafish.UniProt.renamed	P07585	Q803T1
OG0006472	Zebrafish.UniProt.renamed	P13945	B0UYT9
OG0006473	Zebrafish.UniProt.renamed	P15153	Q6IQN5
OG0006474	Zebrafish.UniProt.renamed	P21246	Q502U6
OG0006475	Zebrafish.UniProt.renamed	P21554	Q7T3Q3
OG0006476	Zebrafish.UniProt.renamed	P26678	A0A8M1P2H4
OG0006477	Zebrafish.UniProt.renamed	P30874	E7F6Y6
OG0006478	Zebrafish.UniProt.renamed	P52954	Q6ZM39
OG0006479	Zebrafish.UniProt.renamed	P58340	A0A2R8PY46
OG0006480	Zebrafish.UniProt.renamed	P63215	Q90Z40
OG0006481	Zebrafish.UniProt.renamed	P82914	Q6DGL8
OG0006482	Zebrafish.UniProt.renamed	Q06203	A6H8S4
OG0006483	Zebrafish.UniProt.renamed	Q16769	A0A8M3AK24
OG0006484	Zebrafish.UniProt.renamed	Q5BJE1	A0A8M1Q728
OG0006485	Zebrafish.UniProt.renamed	Q6P161	Q1LXI5
OG0006486	Zebrafish.UniProt.renamed	Q70YC5	E7FDA3
OG0006487	Zebrafish.UniProt.renamed	Q7L2H7	Q7T3B0
OG0006488	Zebrafish.UniProt.renamed	Q7Z403	A0A8M6Z556
OG0006489	Zebrafish.UniProt.renamed	Q8IYD9	A0A8M2BHL8
OG0006490	Zebrafish.UniProt.renamed	Q8N3V7	A0A2R8QMT1
OG0006491	Zebrafish.UniProt.renamed	Q8N511	A8E5C6
OG0006492	Zebrafish.UniProt.renamed	Q8NI38	A0A8M9PK20
OG0006493	Zebrafish.UniProt.renamed	Q93075	B3DH59
OG0006494	Zebrafish.UniProt.renamed	Q969S6	Q6DGR1
OG0006495	Zebrafish.UniProt.renamed	Q969V4	A0A0R4IRF0
OG0006496	Zebrafish.UniProt.renamed	Q96CD0	F1QN14
OG0006497	Zebrafish.UniProt.renamed	Q96MN5	B0UYI1
OG0006498	Zebrafish.UniProt.renamed	Q96NB3	Q6P0I6
OG0006499	Zebrafish.UniProt.renamed	Q99575	A0A8M9NZG1
OG0006500	Zebrafish.UniProt.renamed	Q99714	Q5XJS8
OG0006501	Zebrafish.UniProt.renamed	Q9BUB7	E7FGK5
OG0006502	Zebrafish.UniProt.renamed	Q9NPI0	E7FDE0
OG0006503	Zebrafish.UniProt.renamed	Q9NQ50	Q66I86
OG0006504	Zebrafish.UniProt.renamed	Q9NVK5	Q7T338
OG0006505	Zebrafish.UniProt.renamed	Q9NXR8	Q6TEM2
OG0006506	Zebrafish.UniProt.renamed	Q9UBI9	Q5RIN9
OG0006507	Zebrafish.UniProt.renamed	Q9UJX4	A0A8M1PFK7
OG0006508	Zebrafish.UniProt.renamed	Q9Y2L9	A0A8M9QG10
OG0006509	Zebrafish.UniProt.renamed	Q9Y5K1	Q6P0S6
OG0006510	Zebrafish.UniProt.renamed	Q9Y5X1	A0A8M9PBT0
OG0006511	Zebrafish.UniProt.renamed	Q9Y5X3	Q803H8
OG0006513	Zebrafish.UniProt.renamed	O15218	Q535D9
OG0006514	Zebrafish.UniProt.renamed	O15354	E7F3I2
OG0006515	Zebrafish.UniProt.renamed	O43432	A0A8M9PFF4
OG0006516	Zebrafish.UniProt.renamed	O60687	E7F8X0
OG0006517	Zebrafish.UniProt.renamed	O75343	E7F6T1
OG0006518	Zebrafish.UniProt.renamed	O75541	A0A8N7TFU8
OG0006520	Zebrafish.UniProt.renamed	O95342	A0A8M1RNN7
OG0006521	Zebrafish.UniProt.renamed	O95755	A0PJQ5
OG0006522	Zebrafish.UniProt.renamed	P09936	Q7ZTI4
OG0006523	Zebrafish.UniProt.renamed	P0C6A0	A0A8M9PZX8
OG0006525	Zebrafish.UniProt.renamed	P46060	Q08BV5
OG0006526	Zebrafish.UniProt.renamed	P51946	A0A8M9QDW3
OG0006527	Zebrafish.UniProt.renamed	P52803	P79728
OG0006528	Zebrafish.UniProt.renamed	P54198	A2CEX6
OG0006529	Zebrafish.UniProt.renamed	P56962	F1QFP8
OG0006530	Zebrafish.UniProt.renamed	P78540	Q6PH54
OG0006531	Zebrafish.UniProt.renamed	Q02809	A8WIN7
OG0006532	Zebrafish.UniProt.renamed	Q02930	E7FFR4
OG0006533	Zebrafish.UniProt.renamed	Q06495	A0A8M9PDN7
OG0006534	Zebrafish.UniProt.renamed	Q07326	Q6P0J9
OG0006535	Zebrafish.UniProt.renamed	Q08AD1	A0A8M3B5I3
OG0006536	Zebrafish.UniProt.renamed	Q13487	E7F685
OG0006537	Zebrafish.UniProt.renamed	Q13591	F1R9L1
OG0006538	Zebrafish.UniProt.renamed	Q13601	A0A8M1NAE1
OG0006539	Zebrafish.UniProt.renamed	Q13643	E7EZP9
OG0006540	Zebrafish.UniProt.renamed	Q149N8	A0A8M9Q6D1
OG0006541	Zebrafish.UniProt.renamed	Q15034	B8JLD4
OG0006542	Zebrafish.UniProt.renamed	Q16763	Q4V908
OG0006543	Zebrafish.UniProt.renamed	Q17R31	A0A8M2B4Y9
OG0006544	Zebrafish.UniProt.renamed	Q3KNV8	A0A8M9QGY3
OG0006545	Zebrafish.UniProt.renamed	Q53F19	Q803E1
OG0006546	Zebrafish.UniProt.renamed	Q5FBB7	A1L1S4
OG0006547	Zebrafish.UniProt.renamed	Q5RI15	Q6DH88
OG0006548	Zebrafish.UniProt.renamed	Q5T013	Q7T3H9
OG0006549	Zebrafish.UniProt.renamed	Q6UX46	E7FAP8
OG0006550	Zebrafish.UniProt.renamed	Q8N9T8	Q6DRJ4
OG0006551	Zebrafish.UniProt.renamed	Q8TF61	F6NUQ2
OG0006552	Zebrafish.UniProt.renamed	Q96FB5	A0A0R4IL77
OG0006553	Zebrafish.UniProt.renamed	Q96HA4	A0A8M9QFF2
OG0006554	Zebrafish.UniProt.renamed	Q96JH8	A7UA95
OG0006555	Zebrafish.UniProt.renamed	Q96NJ5	A0A8M9NYZ2
OG0006556	Zebrafish.UniProt.renamed	Q99527	B3G515
OG0006557	Zebrafish.UniProt.renamed	Q9NRX4	Q6DC18
OG0006558	Zebrafish.UniProt.renamed	Q9NRZ9	Q3BDS6
OG0006559	Zebrafish.UniProt.renamed	Q9NUC0	A0A8M1PS78
OG0006560	Zebrafish.UniProt.renamed	Q9NZN4	Q6P3J7
OG0006561	Zebrafish.UniProt.renamed	Q9Y3A6	Q7T2E9
OG0006562	Zebrafish.UniProt.renamed	A2RU14	Q7SZ56
OG0006563	Zebrafish.UniProt.renamed	A6NGC4	A8WGS4
OG0006564	Zebrafish.UniProt.renamed	A8K979	Q502M8
OG0006565	Zebrafish.UniProt.renamed	O60830	A8WHN3
OG0006566	Zebrafish.UniProt.renamed	O95684	A0A8M9PSK8
OG0006567	Zebrafish.UniProt.renamed	P01236	C6G3Y2
OG0006568	Zebrafish.UniProt.renamed	P07202	A0A8M9PP20
OG0006569	Zebrafish.UniProt.renamed	P09016	O57374
OG0006570	Zebrafish.UniProt.renamed	P13716	Q568L9
OG0006571	Zebrafish.UniProt.renamed	P14652	O42367
OG0006572	Zebrafish.UniProt.renamed	P16435	F8W4Z6
OG0006573	Zebrafish.UniProt.renamed	P53618	Q66HV4
OG0006574	Zebrafish.UniProt.renamed	P54284	A0A8M9PL84
OG0006575	Zebrafish.UniProt.renamed	P58004	A0F081
OG0006576	Zebrafish.UniProt.renamed	P62079	Q5XJE2
OG0006577	Zebrafish.UniProt.renamed	P82650	A5PLF9
OG0006578	Zebrafish.UniProt.renamed	P98095	F1RCR3
OG0006579	Zebrafish.UniProt.renamed	Q06828	A0A8M1PS86
OG0006580	Zebrafish.UniProt.renamed	Q07973	A3KNB0
OG0006581	Zebrafish.UniProt.renamed	Q14432	A0A8M3B8Q1
OG0006582	Zebrafish.UniProt.renamed	Q15836	Q6IQK3
OG0006583	Zebrafish.UniProt.renamed	Q3T906	Q5RGJ8
OG0006584	Zebrafish.UniProt.renamed	Q5TCZ1	Q1LYG0
OG0006585	Zebrafish.UniProt.renamed	Q6QEF8	A0A8M6YV26
OG0006586	Zebrafish.UniProt.renamed	Q6UW02	F1QHW0
OG0006587	Zebrafish.UniProt.renamed	Q6ZT89	Q6DHS9
OG0006588	Zebrafish.UniProt.renamed	Q86XR5	E7FER7
OG0006589	Zebrafish.UniProt.renamed	Q8IUS5	A0A0R4ILH2
OG0006590	Zebrafish.UniProt.renamed	Q8N653	A1L1Q7
OG0006591	Zebrafish.UniProt.renamed	Q8N755	Q66I89
OG0006592	Zebrafish.UniProt.renamed	Q8N998	A8WG43
OG0006593	Zebrafish.UniProt.renamed	Q8NFH3	Q6NYF4
OG0006594	Zebrafish.UniProt.renamed	Q8NI37	Q5U3N5
OG0006595	Zebrafish.UniProt.renamed	Q8TEZ7	Q801G2
OG0006596	Zebrafish.UniProt.renamed	Q8WXF8	A0A8M6YTH0
OG0006597	Zebrafish.UniProt.renamed	Q8WXG6	A0A8M9Q2G4
OG0006598	Zebrafish.UniProt.renamed	Q96IZ7	Q6NWH9
OG0006599	Zebrafish.UniProt.renamed	Q9BW60	A0A0R4IT00
OG0006600	Zebrafish.UniProt.renamed	Q9BZE1	A3KP51
OG0006601	Zebrafish.UniProt.renamed	Q9H1K0	A0A8N7T814
OG0006602	Zebrafish.UniProt.renamed	Q9H3S7	F1Q653
OG0006603	Zebrafish.UniProt.renamed	Q9NQW6	A0A286Y917
OG0006604	Zebrafish.UniProt.renamed	Q9NUL3	Q7ZW47
OG0006605	Zebrafish.UniProt.renamed	Q9NVA4	B8JIG9
OG0006606	Zebrafish.UniProt.renamed	Q9P0L0	Q6DGS7
OG0006607	Zebrafish.UniProt.renamed	Q9UGB7	Q4V8T0
OG0006608	Zebrafish.UniProt.renamed	Q9UHI7	F6NS11
OG0006609	Zebrafish.UniProt.renamed	Q9UHJ9	Q5BL33
OG0006610	Zebrafish.UniProt.renamed	Q9UID3	Q155U0
OG0006611	Zebrafish.UniProt.renamed	Q9ULT6	A5WWA0
OG0006612	Zebrafish.UniProt.renamed	Q9Y316	Q803S3
OG0006613	Zebrafish.UniProt.renamed	A6H8Y1	A0A8M6YV30
OG0006614	Zebrafish.UniProt.renamed	O14948	Q1JQ62
OG0006615	Zebrafish.UniProt.renamed	O43156	E7F9V6
OG0006616	Zebrafish.UniProt.renamed	O43505	L7YAI7
OG0006617	Zebrafish.UniProt.renamed	O60245	A0A0H2UKU4
OG0006618	Zebrafish.UniProt.renamed	P10646	B0S6C1
OG0006619	Zebrafish.UniProt.renamed	P12034	Q5TLE2
OG0006620	Zebrafish.UniProt.renamed	P13994	Q66I85
OG0006621	Zebrafish.UniProt.renamed	P32019	A0A8M3AQB1
OG0006622	Zebrafish.UniProt.renamed	Q04637	A0A8M3B020
OG0006623	Zebrafish.UniProt.renamed	Q13057	Q66HW0
OG0006624	Zebrafish.UniProt.renamed	Q15126	A4IGD4
OG0006625	Zebrafish.UniProt.renamed	Q4G112	A4QNW9
OG0006626	Zebrafish.UniProt.renamed	Q5MJ70	F1QWB8
OG0006627	Zebrafish.UniProt.renamed	Q6P1A2	A0A8M6YSQ0
OG0006628	Zebrafish.UniProt.renamed	Q6ZSZ6	B3DJM5
OG0006629	Zebrafish.UniProt.renamed	Q7RTW8	E7EXK7
OG0006630	Zebrafish.UniProt.renamed	Q7Z419	A0A8N7V037
OG0006631	Zebrafish.UniProt.renamed	Q7Z7A4	Q1LVS2
OG0006632	Zebrafish.UniProt.renamed	Q8N143	A0A8M1PRU8
OG0006633	Zebrafish.UniProt.renamed	Q8N5H3	A0A8M1QV06
OG0006634	Zebrafish.UniProt.renamed	Q8N6Y1	E7F9B5
OG0006635	Zebrafish.UniProt.renamed	Q8N9H8	A0A8M9Q6C2
OG0006636	Zebrafish.UniProt.renamed	Q8NG04	A0A8M1QQZ8
OG0006637	Zebrafish.UniProt.renamed	Q8TB73	F1QPX0
OG0006638	Zebrafish.UniProt.renamed	Q8TCX1	Q7SXY4
OG0006639	Zebrafish.UniProt.renamed	Q8TDV5	A0A8M1PUJ3
OG0006640	Zebrafish.UniProt.renamed	Q8TEH3	A0A8M2B8E1
OG0006641	Zebrafish.UniProt.renamed	Q969T9	F1QJX3
OG0006642	Zebrafish.UniProt.renamed	Q96EW2	Q6AXL5
OG0006643	Zebrafish.UniProt.renamed	Q96EX1	Q5BKW8
OG0006644	Zebrafish.UniProt.renamed	Q96PL2	A0A8M6Z9A6
OG0006645	Zebrafish.UniProt.renamed	Q96PZ0	B1H1H9
OG0006646	Zebrafish.UniProt.renamed	Q99453	Q5I7G4
OG0006647	Zebrafish.UniProt.renamed	Q9BQ90	A0A8M9QNZ4
OG0006648	Zebrafish.UniProt.renamed	Q9HCJ6	A8KBA0
OG0006649	Zebrafish.UniProt.renamed	Q9NQV6	A2BID7
OG0006650	Zebrafish.UniProt.renamed	Q9ULL1	A0A8M9PWN4
OG0006651	Zebrafish.UniProt.renamed	Q9UN86	A1L1U3
OG0006652	Zebrafish.UniProt.renamed	Q9Y4C4	A0A8M9Q9V5
OG0006653	Zebrafish.UniProt.renamed	Q9Y680	Q7ZZ60
OG0006654	Zebrafish.UniProt.renamed	O00232	Q8AW07
OG0006655	Zebrafish.UniProt.renamed	P20309	A0A8M9PNY8
OG0006656	Zebrafish.UniProt.renamed	P29320	A0A8M3AVX1
OG0006657	Zebrafish.UniProt.renamed	P48023	Q0PKX7
OG0006658	Zebrafish.UniProt.renamed	P50607	A0A8M9PZ13
OG0006659	Zebrafish.UniProt.renamed	P51788	A0A8M3AV81
OG0006660	Zebrafish.UniProt.renamed	P52198	Q0P4B0
OG0006661	Zebrafish.UniProt.renamed	P52943	F1QZB0
OG0006663	Zebrafish.UniProt.renamed	P57071	A0A8M3AX18
OG0006664	Zebrafish.UniProt.renamed	P62917	Q6P0V6
OG0006665	Zebrafish.UniProt.renamed	Q15022	B0R1D5
OG0006666	Zebrafish.UniProt.renamed	Q15147	A0A8M9PL02
OG0006667	Zebrafish.UniProt.renamed	Q53GS7	Q6DRB1
OG0006668	Zebrafish.UniProt.renamed	Q5GH76	Q5GH42
OG0006669	Zebrafish.UniProt.renamed	Q5M775	A0A8N7UV85
OG0006670	Zebrafish.UniProt.renamed	Q5SWA1	A0A8M1NA66
OG0006671	Zebrafish.UniProt.renamed	Q6NUK4	Q7ZVX5
OG0006672	Zebrafish.UniProt.renamed	Q7L5Y9	Q7SXR3
OG0006673	Zebrafish.UniProt.renamed	Q7Z2Z1	Q6DRL4
OG0006674	Zebrafish.UniProt.renamed	Q7Z5A7	A0A2R8QIB8
OG0006675	Zebrafish.UniProt.renamed	Q8IVB5	A0A8M2B6G9
OG0006676	Zebrafish.UniProt.renamed	Q8N365	Q1LXW3
OG0006677	Zebrafish.UniProt.renamed	Q8N4F7	F1QUH4
OG0006678	Zebrafish.UniProt.renamed	Q8NC51	F1Q5Q3
OG0006679	Zebrafish.UniProt.renamed	Q8WTV1	Q58EG0
OG0006680	Zebrafish.UniProt.renamed	Q8WX92	Q7ZVU3
OG0006681	Zebrafish.UniProt.renamed	Q8WYH8	A5WVS7
OG0006682	Zebrafish.UniProt.renamed	Q92542	Q5XLR3
OG0006683	Zebrafish.UniProt.renamed	Q96AA3	E7EXE6
OG0006684	Zebrafish.UniProt.renamed	Q96B45	Q4V8S9
OG0006685	Zebrafish.UniProt.renamed	Q96DF8	F1QAX0
OG0006686	Zebrafish.UniProt.renamed	Q96FV2	Q5TYS5
OG0006687	Zebrafish.UniProt.renamed	Q96K83	A0A8M9NZ55
OG0006688	Zebrafish.UniProt.renamed	Q96LI5	A2BHJ4
OG0006689	Zebrafish.UniProt.renamed	Q96S79	A0A8M3AS78
OG0006690	Zebrafish.UniProt.renamed	Q96SN8	A0A8M3ATJ9
OG0006691	Zebrafish.UniProt.renamed	Q9BRP7	A5PMV5
OG0006692	Zebrafish.UniProt.renamed	Q9BS91	Q90X48
OG0006693	Zebrafish.UniProt.renamed	Q9BWH6	E7FGQ5
OG0006694	Zebrafish.UniProt.renamed	Q9BYI3	Q6P121
OG0006695	Zebrafish.UniProt.renamed	Q9GZT3	X1WCD3
OG0006696	Zebrafish.UniProt.renamed	Q9H0I3	Q5XJN6
OG0006698	Zebrafish.UniProt.renamed	Q9NYP3	A0A8M9PJE0
OG0006699	Zebrafish.UniProt.renamed	Q9UJM8	A4FVH7
OG0006700	Zebrafish.UniProt.renamed	Q9UPT6	L7RKJ8
OG0006701	Zebrafish.UniProt.renamed	Q9UQV4	A0A8M1PV41
OG0006702	Zebrafish.UniProt.renamed	Q9Y4H4	A0A8M6YTQ4
OG0006703	Zebrafish.UniProt.renamed	O15085	Q49U75
OG0006704	Zebrafish.UniProt.renamed	O94763	Q4V9N5
OG0006705	Zebrafish.UniProt.renamed	P00492	Q7ZV49
OG0006706	Zebrafish.UniProt.renamed	P02489	Q8UUZ6
OG0006707	Zebrafish.UniProt.renamed	P04053	Q5J2Q9
OG0006708	Zebrafish.UniProt.renamed	P08842	F1QB82
OG0006709	Zebrafish.UniProt.renamed	P11474	A0A8M2B8J1
OG0006710	Zebrafish.UniProt.renamed	P14136	Q58EE9
OG0006711	Zebrafish.UniProt.renamed	P15056	Q1LYG2
OG0006712	Zebrafish.UniProt.renamed	P23409	Q6VNZ9
OG0006713	Zebrafish.UniProt.renamed	P23945	Q6TCF9
OG0006714	Zebrafish.UniProt.renamed	P28223	A0A8M3B093
OG0006715	Zebrafish.UniProt.renamed	P46776	Q6P2M0
OG0006716	Zebrafish.UniProt.renamed	P48549	E7F2Y9
OG0006717	Zebrafish.UniProt.renamed	P57738	Q6DGY3
OG0006718	Zebrafish.UniProt.renamed	P62820	Q7ZSZ0
OG0006719	Zebrafish.UniProt.renamed	Q12846	Q7ZV18
OG0006720	Zebrafish.UniProt.renamed	Q13148	A0A8M9PSZ1
OG0006721	Zebrafish.UniProt.renamed	Q13616	Q6NYS3
OG0006722	Zebrafish.UniProt.renamed	Q14296	B0S618
OG0006723	Zebrafish.UniProt.renamed	Q15743	A0A8M3AJ72
OG0006724	Zebrafish.UniProt.renamed	Q53FT3	Q568T4
OG0006725	Zebrafish.UniProt.renamed	Q5JSH3	A5PN22
OG0006726	Zebrafish.UniProt.renamed	Q5T0W9	E7F4Q7
OG0006727	Zebrafish.UniProt.renamed	Q6XYQ8	A0A8M6Z5Z8
OG0006728	Zebrafish.UniProt.renamed	Q6ZSS7	Q1LUQ4
OG0006729	Zebrafish.UniProt.renamed	Q7L3T8	Q6P0C4
OG0006730	Zebrafish.UniProt.renamed	Q8IY49	D3YLD4
OG0006731	Zebrafish.UniProt.renamed	Q8N1E6	Q5RH13
OG0006732	Zebrafish.UniProt.renamed	Q8N999	Q5PR55
OG0006733	Zebrafish.UniProt.renamed	Q8NFG4	F1R3E5
OG0006734	Zebrafish.UniProt.renamed	Q8NG66	F6NJG8
OG0006735	Zebrafish.UniProt.renamed	Q8TAP9	B0V0W7
OG0006736	Zebrafish.UniProt.renamed	Q8TBK6	F1QUQ1
OG0006737	Zebrafish.UniProt.renamed	Q8TC59	A2CEI6
OG0006738	Zebrafish.UniProt.renamed	Q92665	A2BEP0
OG0006739	Zebrafish.UniProt.renamed	Q96A35	Q6DH02
OG0006740	Zebrafish.UniProt.renamed	Q96HU8	A0A8M2B1M4
OG0006741	Zebrafish.UniProt.renamed	Q96T76	E7FBU4
OG0006742	Zebrafish.UniProt.renamed	Q96T92	A0A8M1PRS8
OG0006743	Zebrafish.UniProt.renamed	Q9BUN5	B8A4M8
OG0006744	Zebrafish.UniProt.renamed	Q9H2G9	B8JM41
OG0006745	Zebrafish.UniProt.renamed	Q9NRN7	Q4V8T8
OG0006746	Zebrafish.UniProt.renamed	Q9NVN8	Q7SZX9
OG0006747	Zebrafish.UniProt.renamed	Q9UGH3	A0A8M9PLA9
OG0006748	Zebrafish.UniProt.renamed	Q9Y231	B3DGK8
OG0006749	Zebrafish.UniProt.renamed	A0A1B0GVB3	A0A0R4IEQ1
OG0006750	Zebrafish.UniProt.renamed	A0AV02	A0A8M2BF89
OG0006751	Zebrafish.UniProt.renamed	A6NDG6	F1QGU0
OG0006752	Zebrafish.UniProt.renamed	O00189	Q7SZZ7
OG0006753	Zebrafish.UniProt.renamed	O14737	Q7ZUZ4
OG0006754	Zebrafish.UniProt.renamed	O43716	A2BHB7
OG0006755	Zebrafish.UniProt.renamed	O60725	Q568J7
OG0006756	Zebrafish.UniProt.renamed	O75140	A0A8M9QKY4
OG0006757	Zebrafish.UniProt.renamed	O95433	Q7SXN3
OG0006758	Zebrafish.UniProt.renamed	O95838	A0A8M3B4C0
OG0006759	Zebrafish.UniProt.renamed	O96007	A0A8M6Z1C5
OG0006761	Zebrafish.UniProt.renamed	P23435	Q1L944
OG0006762	Zebrafish.UniProt.renamed	P27448	A0A8M3AL25
OG0006763	Zebrafish.UniProt.renamed	P28074	Q6IQD0
OG0006764	Zebrafish.UniProt.renamed	P42336	F1QAD7
OG0006765	Zebrafish.UniProt.renamed	P43487	Q6NWK3
OG0006766	Zebrafish.UniProt.renamed	P46736	A0A8M3B525
OG0006767	Zebrafish.UniProt.renamed	P61587	Q6PC71
OG0006768	Zebrafish.UniProt.renamed	Q05932	F1Q7N0
OG0006769	Zebrafish.UniProt.renamed	Q12912	Q5RHB5
OG0006770	Zebrafish.UniProt.renamed	Q13206	F8W3D4
OG0006771	Zebrafish.UniProt.renamed	Q15043	A0A0G2KQY6
OG0006772	Zebrafish.UniProt.renamed	Q16620	A0A8M3AVL1
OG0006773	Zebrafish.UniProt.renamed	Q16706	A0A0R4IVS5
OG0006774	Zebrafish.UniProt.renamed	Q16890	A0A8M2B812
OG0006775	Zebrafish.UniProt.renamed	Q5T280	Q66ID3
OG0006776	Zebrafish.UniProt.renamed	Q68J44	Q29RA3
OG0006777	Zebrafish.UniProt.renamed	Q6GMV2	F1RET2
OG0006778	Zebrafish.UniProt.renamed	Q6ZMB5	Q6PFI3
OG0006779	Zebrafish.UniProt.renamed	Q7Z3E1	A0A0R4IVH6
OG0006780	Zebrafish.UniProt.renamed	Q7Z4H3	Q1LUI2
OG0006781	Zebrafish.UniProt.renamed	Q86VW2	A0A8M3AYL2
OG0006782	Zebrafish.UniProt.renamed	Q86X95	A0A8M9PSH9
OG0006783	Zebrafish.UniProt.renamed	Q8NC74	E7F5C4
OG0006784	Zebrafish.UniProt.renamed	Q8NCP5	A0A8M2BJS0
OG0006785	Zebrafish.UniProt.renamed	Q8WVF5	Q6GMI6
OG0006786	Zebrafish.UniProt.renamed	Q96N28	E7EZZ3
OG0006787	Zebrafish.UniProt.renamed	Q96Q05	A0A8M6YU25
OG0006788	Zebrafish.UniProt.renamed	Q9BXX0	A0A8M1Q7M7
OG0006789	Zebrafish.UniProt.renamed	Q9BYH1	A0A2R8Q401
OG0006790	Zebrafish.UniProt.renamed	Q9H3J6	A5WUX7
OG0006791	Zebrafish.UniProt.renamed	Q9H9T3	Q5RIC0
OG0006792	Zebrafish.UniProt.renamed	Q9UBU2	A8KB56
OG0006793	Zebrafish.UniProt.renamed	Q9ULW2	Q9W6E3
OG0006794	Zebrafish.UniProt.renamed	Q9Y2W6	A0A8M6Z3H4
OG0006795	Zebrafish.UniProt.renamed	Q9Y5K5	Q6NWL6
OG0006796	Zebrafish.UniProt.renamed	Q9Y6J9	E7FEV1
OG0006797	Zebrafish.UniProt.renamed	A3KMH1	B0R0T1
OG0006798	Zebrafish.UniProt.renamed	A4D263	A0A2R8RM10
OG0006799	Zebrafish.UniProt.renamed	A5YKK6	A1A5H6
OG0006800	Zebrafish.UniProt.renamed	A6NNW6	Q08BC6
OG0006801	Zebrafish.UniProt.renamed	C9JTQ0	A0A8M2BKV6
OG0006802	Zebrafish.UniProt.renamed	O00273	Q6DHM1
OG0006803	Zebrafish.UniProt.renamed	O15042	E9QCG7
OG0006804	Zebrafish.UniProt.renamed	O60487	Q8JG36
OG0006805	Zebrafish.UniProt.renamed	O60934	Q5I2W8
OG0006806	Zebrafish.UniProt.renamed	O75817	Q5XJ22
OG0006807	Zebrafish.UniProt.renamed	O95999	E7F8A6
OG0006808	Zebrafish.UniProt.renamed	P28340	Q2KNE0
OG0006809	Zebrafish.UniProt.renamed	P29084	Q6NXA3
OG0006810	Zebrafish.UniProt.renamed	P36888	A0A8M1QKN2
OG0006811	Zebrafish.UniProt.renamed	P41134	Q6IQW5
OG0006812	Zebrafish.UniProt.renamed	P43405	A0A8M2B201
OG0006814	Zebrafish.UniProt.renamed	P60866	Q6P6E7
OG0006815	Zebrafish.UniProt.renamed	P62873	Q6PH57
OG0006816	Zebrafish.UniProt.renamed	P68543	E7EY86
OG0006817	Zebrafish.UniProt.renamed	Q06265	Q5XJQ5
OG0006818	Zebrafish.UniProt.renamed	Q0GE19	Q6DHK8
OG0006819	Zebrafish.UniProt.renamed	Q10471	A0A8M3B826
OG0006820	Zebrafish.UniProt.renamed	Q15119	B3DIT9
OG0006821	Zebrafish.UniProt.renamed	Q16891	Q6PFS4
OG0006822	Zebrafish.UniProt.renamed	Q2T9J0	B3DFU6
OG0006823	Zebrafish.UniProt.renamed	Q4AC94	A0A8M1Q789
OG0006824	Zebrafish.UniProt.renamed	Q5JSP0	Q4V9K2
OG0006825	Zebrafish.UniProt.renamed	Q5SQS7	A0A8M1RKL1
OG0006826	Zebrafish.UniProt.renamed	Q5SRE5	E7EXJ6
OG0006827	Zebrafish.UniProt.renamed	Q5T5U3	F1QST2
OG0006828	Zebrafish.UniProt.renamed	Q5TC12	Q1L987
OG0006829	Zebrafish.UniProt.renamed	Q6ZNE5	F1R340
OG0006830	Zebrafish.UniProt.renamed	Q86V88	E7F6V6
OG0006831	Zebrafish.UniProt.renamed	Q86XW9	A0A8M9Q4G2
