Orthogroup	Zebrafish.UniProt.renamed	Human.UniProt.renamed
OG0004906	H0WES8	Q96IX5
OG0004907	A7MC09	Q96LR2
OG0004908	A0A8M6Z5D9	Q96MT7
OG0004909	Q7T2D4	Q96RQ1
OG0004910	Q66I15	Q96SL1
OG0004911	F1QI95	Q96T83
OG0004912	Q1LV04	Q9BSU1
OG0004913	A1A5E5	Q9NQ11
OG0004914	Q6DHM8	Q9P055
OG0004915	A0A8M2BA15	Q9UBS3
OG0004916	Q08CD5	Q9Y2B1
OG0004917	A0A8M1PZD3	A6PVS8
OG0004918	A0A8M1NXB8	B5MCY1
OG0004919	F1R6L2	O00291
OG0004920	Q7ZUN8	O15498
OG0004921	Q7T2B7	O43427
OG0004922	A0A8N7TE34	O43900
OG0004923	A0A8M9PME6	O60494
OG0004924	Q5BLA5	O75607
OG0004925	A0A8M2BCB6	O95831
OG0004926	Q7SZM5	P08253
OG0004927	Q6ZM23	P09669
OG0004928	E9QE97	P22914
OG0004930	P52161	P61244
OG0004931	Q90Y54	P78504
OG0004932	Q5PR57	Q02127
OG0004933	A0A8M9QJI0	Q13099
OG0004934	Q6NWZ9	Q16878
OG0004935	A0A8M6YV78	Q5VWZ2
OG0004936	Q5U3A8	Q6ZMI0
OG0004937	A0A8M3AP47	Q86YN6
OG0004938	A0A8M6YVR3	Q8IXF0
OG0004939	E7F7E2	Q8TB22
OG0004940	Q1LUI6	Q8TC41
OG0004942	A0A0R4I9D6	Q92797
OG0004943	Q6IQ96	Q96DT6
OG0004944	Q4VBJ4	Q96EK6
OG0004945	A0A8M9PZ99	Q96EV2
OG0004946	Q7SXB3	Q96FE7
OG0004947	Q6PGY8	Q96KP1
OG0004948	Q7T3H7	Q9BUE0
OG0004949	Q32LT7	Q9C0H2
OG0004950	E7EY20	Q9H0C8
OG0004951	F1QAJ4	Q9H0R6
OG0004952	A2BGZ3	Q9H9E1
OG0004953	A0A8M2B3B8	Q9NZJ5
OG0004954	A4QN68	Q9P000
OG0004955	Q7ZVZ2	Q9UBM1
OG0004956	Q6DC66	Q9UMX3
OG0004957	Q7T2A5	Q9Y262
OG0004958	A0A8M2BIS7	Q9Y4B5
OG0004959	A0A8M3B4L0	Q9Y4D8
OG0004960	A7MBV2	Q9Y4X4
OG0004961	Q7ZWA8	O00559
OG0004962	A0A8M1QUR0	O43516
OG0004963	A0A8M3B025	O43896
OG0004964	O93507	P17542
OG0004965	T2HVK6	P21731
OG0004966	Q6NVA6	P24844
OG0004967	Q7ZUG1	P30050
OG0004968	F1QQG9	P41968
OG0004969	Q6PBT1	P42677
OG0004970	Q6NV35	P48506
OG0004971	Q7ZU99	P55072
OG0004972	X1WET9	P55884
OG0004973	A0A8M2BBF6	Q15334
OG0004974	A7MC00	Q15555
OG0004975	Q6R3Q6	Q3C1V8
OG0004976	Q501X6	Q5VVH5
OG0004977	A0A2R8Q3V8	Q6P158
OG0004978	E7EXV0	Q6P4H8
OG0004979	A0A8N1YZY7	Q7Z3V4
OG0004980	E7EZJ0	Q86U38
OG0004981	Q66I67	Q8IY31
OG0004982	A8QLH8	Q8IYD8
OG0004983	A3KNW0	Q8N2A8
OG0004984	Q66HZ6	Q8N8Q1
OG0004985	Q3B7H1	Q8NB37
OG0004986	E7EY13	Q8NE62
OG0004987	A0A8M2BKM4	Q8TF17
OG0004988	Q1LUX5	Q8WUU4
OG0004989	A9C3N6	Q96C57
OG0004990	A2CE83	Q96C92
OG0004991	Q503C8	Q96RS6
OG0004993	A0A8M6YYE2	Q9BR77
OG0004994	Q6DRG1	Q9BTD8
OG0004995	A0A8M9QAN8	Q9BXJ7
OG0004996	A0A8M6Z413	Q9HAV4
OG0004997	Q561X3	Q9NPJ6
OG0004998	F1RCI6	Q9NR33
OG0004999	Q7SZ59	Q9NYN1
OG0005000	Q6PHV8	Q9Y272
OG0005001	A0A8M2BG55	Q9Y2F9
OG0005003	Q7T3C6	O43809
OG0005004	Q6DGA3	O60894
OG0005005	Q6PBY6	O94826
OG0005006	Q4VBJ0	O95965
OG0005007	F8W5L3	P04181
OG0005008	A0A8N7UR00	P28336
OG0005009	Q4V9I5	P37108
OG0005010	A0A8M2BCD9	P42331
OG0005011	A0A8M9PI57	P67775
OG0005012	A0A8M1QV42	Q13395
OG0005013	F1Q6W4	Q15078
OG0005014	Q7T2L8	Q16828
OG0005015	A0A8M3AT49	Q3SYG4
OG0005016	E7FEV0	Q562E7
OG0005018	A0A8M1RFR4	Q6P2D8
OG0005019	A0A8N7TE51	Q7L2E3
OG0005020	A0A8M3AUW1	Q7RTV5
OG0005021	B7ZD04	Q86XK3
OG0005022	F1QSB8	Q86XP3
OG0005023	A2RV06	Q8IYR0
OG0005024	Q66IC8	Q8N7M0
OG0005025	F1QGI1	Q8N8Z6
OG0005026	Q503G4	Q8WUJ0
OG0005027	F1QM29	Q92834
OG0005028	F1QA15	Q96CW5
OG0005029	Q803G0	Q96DZ1
OG0005030	Q6NW46	Q96S55
OG0005031	A1A5Z0	Q9BUM1
OG0005032	B7ZDD5	Q9BX63
OG0005033	A0A0R4IU56	Q9H2P9
OG0005034	Q6IQU6	Q9H9Y2
OG0005035	Q7ZUS6	Q9NNZ3
OG0005036	A0A8N7UVX5	Q9NQZ5
OG0005037	Q1LWC2	Q9NUM4
OG0005038	A0A8M1P7U9	Q9NXW9
OG0005039	A0A8M9Q7D0	Q9Y2W3
OG0005040	A2CI97	A2CJ06
OG0005041	A0A0R4IVJ0	O15294
OG0005042	A5PLI6	O75208
OG0005043	Q7SX99	P07954
OG0005044	Q7T359	P11150
OG0005045	Q66HW7	P23942
OG0005046	Q9PUS3	P28065
OG0005047	Q66I20	P36955
OG0005048	F1RC64	P48637
OG0005049	Q6PEJ2	P53680
OG0005050	Q8JHU3	P57078
OG0005051	Q803E5	P62495
OG0005052	A0A8M1RHH5	Q00169
OG0005053	Q503F9	Q08623
OG0005054	A0A8M9PRV2	Q13464
OG0005055	A0A0R4ILD9	Q14232
OG0005056	A0A0R4IBT0	Q15637
OG0005057	A4QNW6	Q49MI3
OG0005058	E7F8W7	Q53R41
OG0005059	E7F5Q0	Q5VU97
OG0005060	A0A8M1QV45	Q66K41
OG0005061	B3DHU2	Q6PI78
OG0005062	A1L2C8	Q7Z3Z2
OG0005063	D7NVC0	Q7Z418
OG0005064	B3DH20	Q86X45
OG0005065	A7MD57	Q8IWE4
OG0005066	A0A8M9PPZ6	Q8IXT1
OG0005067	A0A8M1RMD2	Q8IZD0
OG0005068	Q1LX29	Q8NA31
OG0005069	Q6DG99	Q8NC69
OG0005070	A0A8M6Z1B7	Q8NEA6
OG0005071	Q1LWG4	Q8NF37
OG0005072	A0A8M9QIZ4	Q93015
OG0005073	Q6NZ11	Q969Z4
OG0005074	P53406	Q96A47
OG0005075	A5PL71	Q96DP5
OG0005076	A0A0R4IUC9	Q96E14
OG0005077	Q7ZWE6	Q96EV8
OG0005078	A0A8M9QAV9	Q96FV3
OG0005079	A0A8M9PBZ0	Q96MR6
OG0005080	A3KPX4	Q96QC0
OG0005081	A0A8M2B5N2	Q96SJ8
OG0005082	Q1LWP9	Q99519
OG0005083	A0A8M2BK34	Q9BQ15
OG0005084	A0A0R4IXD9	Q9BTW9
OG0005085	Q6P0F0	Q9BV81
OG0005086	Q5XJB5	Q9HBH5
OG0005087	Q568N3	Q9NPL8
OG0005088	Q71G54	Q9NQB0
OG0005089	A0A8N7TD29	Q9NRA1
OG0005090	F1QJR8	Q9UHR5
OG0005091	A0A8M3AZ08	Q9ULH1
OG0005092	A0A8M9P8V5	O43149
OG0005093	A0A8M3B3J4	O43824
OG0005094	Q561U2	O60260
OG0005095	Q4V909	O60826
OG0005096	F1Q9F5	O94829
OG0005097	A1L1N4	O95232
OG0005098	A0A8M9Q5V4	O95394
OG0005099	A0A8M2B6G8	O95886
OG0005100	P79737	P01111
OG0005101	Q7T3B6	P04070
OG0005102	E7F8R4	P05089
OG0005103	A4GT83	P10275
OG0005104	Q5BKV3	P11182
OG0005105	Q7ZV32	P35914
OG0005106	Q7T334	P40926
OG0005107	Q98TX4	P43699
OG0005108	Q7ZV23	P55769
OG0005109	Q498P2	P82673
OG0005110	Q7SZQ9	Q13823
OG0005113	Q6PEH4	Q68CQ4
OG0005114	F1QWG9	Q6GPH4
OG0005115	E7FD02	Q6IWH7
OG0005116	Q568W8	Q6QHK4
OG0005117	Q6IQH9	Q7Z7H5
OG0005118	F1QGN0	Q8N3X1
OG0005119	Q3ZMH1	Q8N695
OG0005120	B0S5R1	Q8NA72
OG0005121	Q7ZVX6	Q8TBC4
OG0005122	E7F6G2	Q8TDX6
OG0005123	A0A8M9PXN6	Q8TDX9
OG0005124	Q7ZYY4	Q92520
OG0005125	F1Q8K0	Q92698
OG0005126	Q6P2T8	Q92759
OG0005127	Q56A36	Q96JZ2
OG0005128	Q6PC91	Q96K17
OG0005129	Q6DRM7	Q9BRX5
OG0005130	A0A2R8RUJ1	Q9H239
OG0005131	E7F2I7	Q9H2Y9
OG0005132	B3DII8	Q9H6V9
OG0005133	Q7T386	Q9H765
OG0005134	A0A0R4IIV9	Q9NXG2
OG0005135	B1B5D9	Q9NY59
OG0005136	A0A8M1RNL4	Q9NYY3
OG0005137	Q0P4E8	Q9P0U1
OG0005138	A0A8M2BIR4	Q9UJF2
OG0005139	F1QAY0	Q9UKM9
OG0005140	X1WG21	Q9Y6I4
OG0005141	A0A2R8RK24	B9EJG8
OG0005142	A7E2L3	O00110
OG0005144	Q1RLY6	O15229
OG0005145	Q6DG11	O43290
OG0005146	A0A8M9Q380	O43610
OG0005147	Q6DRE2	O43660
OG0005148	Q5SNV1	O60281
OG0005149	Q0KIZ7	O60928
OG0005150	A8WGQ0	P05121
OG0005151	A0A8M3ARK1	P07814
OG0005152	Q6DH63	P14854
OG0005153	A3QJX7	P41143
OG0005154	A4QNW0	P45844
OG0005155	A0A8M9Q8R8	P49585
OG0005156	A0JMG8	P51798
OG0005158	Q7ZW17	Q06124
OG0005159	Q9PTH5	Q06323
OG0005160	A0A2R8RHK7	Q13426
OG0005161	B1H1J6	Q14117
OG0005162	F1R369	Q15293
OG0005163	Q6IQ84	Q15759
OG0005164	Q6NZ09	Q16186
OG0005165	E7F853	Q5T3J3
OG0005166	Q6DGQ4	Q6PH81
OG0005167	A0A8M9PD09	Q6UX72
OG0005168	Q4V922	Q6UXU4
OG0005169	A0A8M1RHF7	Q6ZU64
OG0005170	A0A8M6Z399	Q7RTS9
OG0005171	A0A8M3B2E6	Q7Z3F1
OG0005172	Q7SX85	Q86VW0
OG0005173	Q5CZM9	Q86Y79
OG0005174	F1QXF4	Q8NI27
OG0005175	F1Q8W0	Q8WUQ7
OG0005176	A0A8M2BCR7	Q92785
OG0005177	Q567B0	Q96AX2
OG0005178	Q641M3	Q96B42
OG0005179	A0A8M2BHK6	Q96DR4
OG0005181	A0A2R8QND7	Q9BT25
OG0005182	A0A8M2B351	Q9H3M0
OG0005183	A0A8M3BCH1	Q9H714
OG0005184	Q7ZVK7	Q9NQ55
OG0005185	Q9PUQ6	Q9NZQ9
OG0005186	B8A507	Q9NZU0
OG0005187	Q6IQF3	Q9P2W1
OG0005188	I3ISV3	Q9ULX3
OG0005189	A0A8M9PLZ8	A2VEC9
OG0005190	Q6DHF7	A4D1E9
OG0005191	B8A4Q2	O00764
OG0005192	Q9YH91	O14493
OG0005193	E7FCU6	O75783
OG0005194	A0A8M2B432	P01133
OG0005195	F8W442	P09471
OG0005196	Q4KMF7	P10244
OG0005197	Q90WX6	P11488
OG0005198	Q6P5M3	P46781
OG0005199	B0R0I1	P50281
OG0005200	P57102	P61296
OG0005201	F1R3F7	Q07021
OG0005202	Q6DKF4	Q12792
OG0005203	Q9PTF3	Q13232
OG0005204	Q7T3H4	Q14393
OG0005205	A0A8M9PRN8	Q15149
OG0005206	I3IS54	Q15345
OG0005207	Q7ZVD4	Q15428
OG0005208	A3KP37	Q5TEU4
OG0005209	B3DIJ1	Q6PK18
OG0005210	A0A8N7UTF1	Q6YHK3
OG0005211	A0A8M3AJH8	Q6ZWH5
OG0005212	A0A8M3APF3	Q7RTR2
OG0005213	Q4V9H3	Q8NBI3
OG0005214	Q0P427	Q8TAP8
OG0005215	A9JSX6	Q8TCG1
OG0005216	A0A8M9PGC0	Q8TDF5
OG0005217	A1A5V9	Q8TE02
OG0005218	A0A2R8Q5I2	Q96AJ9
OG0005219	A0A0R4ICC7	Q96ES6
OG0005220	Q6NYY9	Q96GC9
OG0005222	Q7ZVN7	Q96RN5
OG0005223	F1R647	Q9BUP0
OG0005224	Q98SP7	Q9BXC9
OG0005225	E7F9E5	Q9BYF1
OG0005226	Q5M9P8	Q9H0F7
OG0005227	Q4G0A0	Q9H270
OG0005228	Q2LE08	Q9H334
OG0005229	A0A8M2BEZ5	Q9NNW5
OG0005230	Q5RKM6	Q9NSD9
OG0005231	F1R6N4	Q9NTX5
OG0005232	Q6PC62	Q9NZD8
OG0005233	Q7ZVF8	Q9UHQ9
OG0005234	A2CEX1	Q9ULC8
OG0005235	Q6PBV4	Q9Y3V2
OG0005236	A0A8N7UZN6	Q9Y5C1
OG0005237	Q66IC4	Q9Y6J8
OG0005238	A0A8M9PDM1	W5XKT8
OG0005239	A4JYQ6	A8MVW5
OG0005240	Q7ZTX4	O15315
OG0005241	A0A8M9P5V5	O15525
OG0005242	Q6DH65	O43583
OG0005243	Q6GML0	O60268
OG0005244	Q6PGV3	O75529
OG0005245	Q6Q417	P18124
OG0005246	Q6TGT5	P37802
OG0005247	Q6NYS8	P39656
OG0005248	A0A0R4IK86	P49842
OG0005249	B0R0K2	P51787
OG0005250	A0A8M3BCR2	P53804
OG0005251	O73862	P55316
OG0005252	Q6TEN1	P61224
OG0005253	A0A182	Q02643
OG0005254	A0A2R8QPA3	Q13474
OG0005255	A0A8M3B4S6	Q5RHP9
OG0005256	A0A8M2B6V9	Q5TGY3
OG0005258	Q502J0	Q7L5N7
OG0005259	A0JMG4	Q86UW6
OG0005260	F1QDK1	Q86VX9
OG0005261	A0A8M3AN52	Q8IVM0
OG0005262	Q6NX05	Q8N5Y8
OG0005263	A0AUS0	Q8N9V3
OG0005264	Q1LUJ6	Q8NAP8
OG0005265	A0A8M6Z0K9	Q8NB91
OG0005266	A0A286Y9A6	Q8TAM1
OG0005267	A0A8M9Q976	Q96FS4
OG0005268	B3DHK5	Q96R05
OG0005269	A0A8M1NHD0	Q96SB8
OG0005270	A5PMK4	Q9NXU5
OG0005271	A0A8N7UR43	Q9NYY8
OG0005272	A0A8N7TDD8	Q9NZ53
OG0005273	E7FDX3	Q9P032
OG0005274	B0UY97	Q9UBZ9
OG0005275	A0A8M1P2D8	Q9UIF9
OG0005276	Q802W1	Q9UKJ5
OG0005277	Q71MM5	Q9Y5R6
OG0005279	F1Q6H8	O14645
OG0005280	Q6DEK0	O14730
OG0005281	A0A8M9Q6X2	O75061
OG0005282	Q4V8V2	P0C025
OG0005283	H0WEU8	P0C6T2
OG0005284	F1QLS2	P0DKB5
OG0005285	A0A8M3BA25	P49796
OG0005286	Q7SZV4	P61812
OG0005287	Q6XZH1	Q12837
OG0005288	F6NW06	Q14CB8
OG0005289	Q9W6C8	Q15784
OG0005290	Q66I16	Q16134
OG0005291	A0A8M9PUX7	Q17RS7
OG0005292	Q32TF8	Q5JST6
OG0005293	Q2YDQ6	Q86U70
OG0005294	F2Z4X0	Q8IWD4
OG0005295	E9QD66	Q8IYL2
OG0005296	Q1LVS8	Q8N434
OG0005297	Q6P0H7	Q8N4T8
OG0005298	X1WEX5	Q8NAB2
OG0005299	Q08CG9	Q8NBD8
OG0005300	A0A8M9QGZ6	Q8NEB9
OG0005301	A0A8M3B5H5	Q8WWQ2
OG0005302	A0A8M9Q027	Q8WY36
OG0005303	A0A0R4IBS6	Q92629
OG0005304	F1QXL6	Q96HR8
OG0005305	Q5U3V6	Q96MU7
OG0005306	A0A2R8QUG9	Q9NRC8
OG0005307	Q5EAR4	Q9NRG0
OG0005309	F8W5U2	Q9NUW8
OG0005310	Q6P0G8	Q9NW61
OG0005311	Q66HX8	Q9NXN4
OG0005312	Q6DGQ1	Q9NYS0
OG0005313	Q98TS3	Q9NZL4
OG0005314	Q1LWG3	Q9P0J6
OG0005315	P79738	Q9UBX0
OG0005316	A9C3Q3	Q9UJX3
OG0005317	Q503F8	Q9UKG9
OG0005318	A0A8M1PAI3	Q9ULG6
OG0005319	A0A8M3ATD0	Q9Y215
OG0005320	Q1RLW5	Q9Y216
OG0005321	Q498Z6	Q9Y2R9
OG0005322	Q502E8	Q9Y2T3
OG0005323	E7F5T9	O60566
OG0005324	Q6WFZ4	O75431
OG0005325	P24257	P04628
OG0005326	Q6P2T1	P09012
OG0005327	Q1LX51	P0C1S8
OG0005328	Q9I9E6	P22102
OG0005329	Q5U376	P22681
OG0005330	F1RDZ6	P23416
OG0005331	Q6IQC3	P33552
OG0005332	E7F251	P42338
OG0005333	F1QBP9	P78549
OG0005335	A0A8M9P909	P98082
OG0005336	A0A8M3B2P2	Q0VAA2
OG0005337	A5PMC4	Q12907
OG0005338	A3KQS5	Q13015
OG0005339	Q8QGI4	Q13516
OG0005340	A0A2R8QI48	Q2PPJ7
OG0005341	E7F6P4	Q5U651
OG0005342	Q5RG45	Q66GS9
OG0005343	Q5U3H3	Q68CQ7
OG0005344	I3IRX1	Q6P995
OG0005345	Q1LUM4	Q86W92
OG0005346	A7MBT8	Q8IVH4
OG0005347	Q6NYE7	Q8IY95
OG0005348	Q4V8S5	Q8N6N7
OG0005349	Q6DH43	Q8N983
OG0005350	Q1L981	Q8NAT2
OG0005351	Q6DHK1	Q8NCW5
OG0005352	Q5XJB9	Q8NDY3
OG0005354	A0A8M1N9R4	Q8WXI9
OG0005355	F1Q5N1	Q96KR4
OG0005356	Q5U3W3	Q96NL0
OG0005357	P0DOC8	Q96NL8
OG0005358	F2Z4R3	Q96NN9
OG0005359	B8JIG8	Q96PQ7
OG0005360	A0JMK4	Q99941
OG0005361	A0A0R4ISE8	Q9BRV8
OG0005362	F1QGC9	Q9GZT6
OG0005363	A0A8M9PKH8	Q9H4F8
OG0005364	Q6PC42	Q9HBI1
OG0005365	Q5VSI8	Q9NYL5
OG0005366	Q5CZN2	Q9UGM6
OG0005367	A0JMD6	Q9UHR6
OG0005368	A0A8M9Q6K1	Q9UIF8
OG0005369	E9QCL9	Q9UKD1
OG0005370	Q5RH05	Q9Y2H1
OG0005371	Q7ZV37	Q9Y570
OG0005373	A0A8M1RN07	A1A5C7
OG0005374	A0A8M6Z0Z1	O14519
OG0005375	Q803Q5	O14641
OG0005376	A0A8M9QGN7	O60469
OG0005377	E7F921	O76024
OG0005378	A0A8M3AW03	O76083
OG0005379	Q9PWM3	P09017
OG0005380	A0A8M9QP94	P0DJG4
OG0005381	Q08C29	P11802
OG0005382	Q6NV43	P20248
OG0005383	A5PL98	P21912
OG0005384	Q7ZWB1	P24941
OG0005385	Q502C8	P30044
OG0005386	Q7ZWC3	P36639
OG0005387	Q789K9	P49459
OG0005388	Q66HZ5	P49848
OG0005389	Q803J3	P61019
OG0005390	Q6PBK3	P62857
OG0005391	Q8QHA3	P78369
OG0005392	Q503Y0	Q14249
OG0005393	F1Q6C4	Q14679
OG0005394	Q7SXL7	Q15007
OG0005395	Q4V8Q5	Q16629
OG0005396	A4IG43	Q6PHR2
OG0005397	A6H8T2	Q6TDU7
OG0005398	A0A8M3AKK5	Q6ZNR0
OG0005399	F1REH1	Q7Z6J6
OG0005400	Q1LYC5	Q8IYU8
OG0005401	F1QGP1	Q8IZ83
OG0005402	A0A8M9Q8U8	Q8NC67
OG0005403	A0A8M9Q8S2	Q8NE31
OG0005404	A0A8M2BJF5	Q96BF6
OG0005405	A8WG78	Q96CU9
OG0005406	Q0P3W8	Q96E40
OG0005407	Q66I75	Q96GX9
OG0005408	Q7T2D0	Q96HU1
OG0005409	B0V1B1	Q96I82
OG0005410	A0A0R4ILX9	Q96N03
OG0005411	A0A0R4ICC1	Q96RR1
OG0005412	A0JMN8	Q96SU4
OG0005413	A0A8M2BJY3	Q99550
OG0005414	Q7ZWG9	Q99720
OG0005415	A0A8M3B1N5	Q9BXU1
OG0005416	Q6GQN0	Q9BYV8
OG0005417	A0A8M9PKY4	Q9C0B1
OG0005418	F6NJX7	Q9C0F1
OG0005419	F6P1Y9	Q9NPJ3
OG0005420	A9JR56	Q9NRR3
OG0005421	Q1RMA6	Q9NWS1
OG0005422	A0A8M1RSA0	Q9P2P5
OG0005423	F1QA94	Q9UGC7
OG0005424	Q6NYI5	Q9UJ83
OG0005425	F1QGM6	Q9UL15
OG0005426	A1L1Q2	Q9UPY6
OG0005427	Q803N2	Q9UQE7
OG0005428	F1QZ15	Q9Y3C4
OG0005429	A0A8M6Z8M9	Q9Y3R5
OG0005430	F1QEY8	O43175
OG0005431	Q6DGP7	O43325
OG0005432	A0A2R8Q3N8	O95470
OG0005433	A0A8M1PIL2	O95954
OG0005434	B3DG30	P13805
OG0005436	A0A2R8QN30	P25189
OG0005437	F1QCC6	P35052
OG0005438	A0A8M9PHB7	P46063
OG0005439	E9QEN8	Q03111
OG0005440	E7F9R5	Q07002
OG0005441	A0A8M6YTG2	Q16831
OG0005442	A3KP40	Q49A92
OG0005443	Q5RGR1	Q5VVB8
OG0005444	E7F5L7	Q7Z353
OG0005445	Q6IQA2	Q7Z3D4
OG0005446	Q7T3Y0	Q7Z6K4
OG0005447	A0A8M3B0D3	Q86XS8
OG0005448	Q6AXL3	Q86YC3
OG0005449	A0A8M6Z113	Q86YD3
OG0005450	E7FGT8	Q8IVF4
OG0005451	Q5XJR6	Q8N138
OG0005452	A8WFY2	Q8N1G4
OG0005453	E7F0C5	Q8NCE2
OG0005454	A0A0R4IBJ2	Q8TDN6
OG0005455	Q7T1R3	Q8TEW0
OG0005456	Q503Z4	Q8WWR8
OG0005457	A0A8M3B8A7	Q93009
OG0005458	A2BIB1	Q96FF9
OG0005459	F6PEI8	Q96JK4
OG0005460	Q58EH6	Q9BR26
OG0005461	A0A8M9P501	Q9BTX7
OG0005462	A1L1F1	Q9BU61
OG0005463	A0A8M2B223	Q9BUB5
OG0005464	Q6PGU2	Q9H063
OG0005465	Q6Q7X9	Q9H511
OG0005466	A0A8M6Z9Q6	Q9HC35
OG0005468	A0A8M9QKF3	Q9NYK1
OG0005469	F1Q679	Q9P2E5
OG0005470	E7F6Y7	Q9UBT6
OG0005471	A0A8M9QHW1	Q9UFG5
OG0005472	F1QNJ3	Q9UGI8
OG0005473	X1WG96	Q9UPU9
OG0005474	E7F462	Q9Y2B9
OG0005475	Q4V8Q4	Q9Y3E0
OG0005476	F1Q772	O14494
OG0005477	Q6PBM0	O95299
OG0005478	Q8JHI0	P05141
OG0005479	Q6DGE2	P05165
OG0005480	Q9DDW0	P13349
OG0005481	Q8JI13	P31314
OG0005482	Q7ZUZ6	P35244
OG0005483	Q803D2	P43034
OG0005484	A1L1V1	P49354
OG0005485	Q6PC10	P54687
OG0005486	Q803Y4	P61960
OG0005487	Q9IB77	P78543
OG0005488	A0A8M3AWR6	P83111
OG0005489	A0A8M2BDG6	Q00341
OG0005490	Q9PVD3	Q03431
OG0005491	Q0P424	Q0PNE2
OG0005492	Q2TJF5	Q16363
OG0005493	A0A8M2B352	Q6AI39
OG0005494	Q6AZB3	Q6FI81
OG0005496	A0A0R4IHC6	Q7L0X0
OG0005497	Q6NV01	Q7Z699
OG0005498	E7F049	Q86UP2
OG0005499	Q6NZR9	Q8IVD9
OG0005500	A4IG62	Q8IYB8
OG0005501	A0A8M9PPL0	Q8N8A8
OG0005502	Q503N2	Q8NBT2
OG0005503	Q5M7X8	Q8NCU4
OG0005504	A0A8M2B4F3	Q8NFZ8
OG0005505	A0A8M3AQD1	Q8TEP8
OG0005506	A0A8M1RKA7	Q8WVS4
OG0005507	F1RE04	Q8WVT3
OG0005508	Q7ZU76	Q92966
OG0005509	A0A8M1RMS5	Q96B97
OG0005510	Q6DHJ7	Q96E29
OG0005511	Q6PC45	Q96HR3
OG0005512	E7F597	Q96JW4
OG0005513	A0A8M6YZ29	Q96L08
OG0005514	A0A0R4IJC7	Q96TA2
OG0005515	Q6NZZ0	Q99595
OG0005516	A5WUT7	Q9BVS4
OG0005517	Q503X2	Q9BYD3
OG0005518	A0A0R4ISJ3	Q9H0D6
OG0005519	B8JKF4	Q9H668
OG0005520	Q08BH7	Q9NPD8
OG0005521	F1QAM1	Q9NPG8
OG0005522	A0A8M1NWF7	Q9UKI8
OG0005523	E9QGH2	Q9UL45
OG0005524	Q5TZG3	Q9UL68
OG0005525	Q24JV4	Q9UNZ5
OG0005526	F1QSR3	Q9UQP3
OG0005527	Q6IWL4	Q9Y4K3
OG0005528	B0S5T6	Q9Y5P8
OG0005529	Q6P0T0	O00217
OG0005530	A0A8M1RLR4	O14782
OG0005531	Q6DGZ5	O60262
OG0005532	Q7ZTY3	O75312
OG0005533	A4FUN7	O75317
OG0005534	A0A8M1P9U9	O94941
OG0005535	B3DKF4	P0DMB2
OG0005536	A4JYI2	P19320
OG0005537	Q6GMG3	P22736
OG0005538	A0A8M6Z0E5	P23109
OG0005539	Q6AZV8	P32754
OG0005540	Q6PBW7	P39019
OG0005541	Q1LVL3	P49588
OG0005542	B0S5J5	P49638
OG0005543	A8DZA0	P49756
OG0005544	Q0P458	P51151
OG0005545	A3KNL9	P53370
OG0005546	Q5RGX8	P54840
OG0005547	Q08CA7	P55145
OG0005548	A0A2R8QLE1	P60606
OG0005549	Q5VSI2	P82912
OG0005550	A0A8M2B278	Q10587
OG0005551	F1QGK5	Q13137
OG0005552	Q7ZUQ4	Q14166
OG0005553	A0A8M9QGA2	Q14449
OG0005554	A1L248	Q15526
OG0005555	Q6PC60	Q16778
OG0005556	Q4V8W5	Q5JU69
OG0005557	Q502Q0	Q6IQ22
OG0005558	A0A0R4IQJ4	Q7Z601
OG0005559	A0A8M2BA68	Q7Z614
OG0005560	E7F2B6	Q86W56
OG0005561	A0A8M9PM93	Q8IYJ0
OG0005562	Q803U0	Q8IZE3
OG0005563	A0A8M9Q402	Q8N4X5
OG0005564	A0A8M3ANT6	Q8N9H9
OG0005565	E7F2J6	Q8NBP7
OG0005566	A0A8M9PT00	Q8TCJ0
OG0005567	A0A8M9PY92	Q96LI9
OG0005568	F1R3C5	Q9BXT8
OG0005569	F1QNX7	Q9BZI7
OG0005570	A0A0G2KDW7	Q9H173
OG0005571	Q7ZYX2	Q9HB21
OG0005572	Q2YDR3	Q9NX62
OG0005573	Q7ZTY7	Q9NZ43
OG0005574	A2RV29	Q9UL40
OG0005575	A0A0R4IBS8	Q9UNH6
OG0005576	P83571	Q9Y230
OG0005577	Q5U3F3	Q9Y5X4
OG0005579	A0A8M2BFC1	O15266
OG0005580	F1QVE4	O43324
OG0005581	Q1L897	O76095
OG0005582	Q6PBN0	O95178
OG0005583	A0A8M2BG46	P17947
OG0005584	A9YT50	P19525
OG0005585	B7SW26	P27658
OG0005586	A0A8M9PQU4	P35475
OG0005587	A0JMP1	P42892
OG0005588	Q6NZT7	P56817
OG0005589	Q6DRC3	P57076
OG0005590	A0A2R8QTM9	P58557
OG0005591	Q566Y8	P61326
OG0005592	Q7ZV45	Q00325
OG0005593	Q90XA8	Q03933
OG0005594	Q32PS0	Q13042
OG0005595	F1QJB6	Q13315
OG0005596	A0A8M9Q0I5	Q14512
OG0005597	Q66I70	Q15543
OG0005598	Q566Y9	Q53F39
OG0005599	B3DGC8	Q5GH70
OG0005600	A0A8M9P2Z5	Q5T5J6
OG0005601	A0A8M2B2B4	Q5TA89
OG0005602	E9QHZ6	Q5XUX1
OG0005603	A0A1L1QZP6	Q6UXH9
OG0005604	A0A8M3AS37	Q6ZMV7
